,username,screen_name,user_location,user_verified,followers_count,friends_count,listed_count,tweet_created_at,tweet_text,tweet_coordinates,tweet_place,tweet_favorite_count
0,Nguyen Quoc Dat,arkruis,,False,208,549,2,2020-12-11 06:52:02,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
1,Siobhan McAndrew,SocSciMcAndrew,"Bristol, Manchester",False,1735,2658,41,2020-12-11 06:50:22,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
2,.,electic_,,False,57,50,0,2020-12-11 06:49:19,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
3,Ajay Joshi,aj_,,False,131,286,1,2020-12-11 06:47:10,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
4,HawksCode,HawksCode,"Meredith, Victoria",False,456,1209,31,2020-12-11 06:47:03,"Introduction #d3js for #datavisualizations

D3.js is a JavaScript library used to #manipulate documents based on… https://t.co/KnAdpBpq8v",,,0
5,José Lugo (•‿•),Chepe,"Mexico City, Mexico",False,1565,221,36,2020-12-11 06:46:12,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
6,#tagcoding for the US,SoCapUS,,False,250,1495,60,2020-12-11 06:44:42,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
7,Patrick Emami,PatrickOmid,Gainesville,False,738,909,14,2020-12-11 06:42:36,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
8,Abhinav,_abhi9,Bombay,False,276,204,8,2020-12-11 06:42:28,"RT @svpino: Data Visualization is an underrated skill. 

Your data is telling a story. Surfacing and presenting it to the world is an amazi…",,,0
9,Sunny Ng,_blahblahblah,"Brooklyn, NY",False,831,530,30,2020-12-11 06:36:49,"RT @ElizabAdams: Great data visualization of the overnight subway closures.

The @mta replaced 26 subway lines with just 3 bus routes. The…",,,0
10,Jann 💙,GnafGnaf,Nipawomsett,False,180,67,22,2020-12-11 06:35:39,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
11,Andy Garin,andy_garin,,False,697,389,10,2020-12-11 06:32:45,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
12,Ähm.,vncnt_vega,,False,77,1022,0,2020-12-11 06:32:39,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
13,Samuel Vázquez,_svazquez,,False,28,134,0,2020-12-11 06:31:02,RT @cesifoti: This semester I had the pleasure to teach data visualization studio at an elite US university. Many students were interested…,,,0
